"ANZSCO_code","ANZSCO_title","DNscore_onet","DNscore_manual"
2312,"Marine Transport Professionals",0,0
2321,"Architects and Landscape Architects",1,1
2322,"Surveyors and Spatial Scientists",0,0.25
2323,"Fashion, Industrial and Jewellery Designers",1,1
2324,"Graphic and Web Designers, and Illustrators",1,1
2325,"Interior Designers",1,1
2326,"Urban and Regional Planners",0,1
2331,"Chemical and Materials Engineers",0,0.75
2332,"Civil Engineering Professionals",1,0.75
2333,"Electrical Engineers",1,1
2334,"Electronics Engineers",1,1
2335,"Industrial, Mechanical and Production Engineers",0,1
2336,"Mining Engineers",0,0.25
2339,"Other Engineering Professionals",1,1
2341,"Agricultural and Forestry Scientists",1,0.25
2342,"Chemists, and Food and Wine Scientists",0,0.25
2343,"Environmental Scientists",1,0.25
2344,"Geologists, Geophysicists and Hydrogeologists",1,0.25
2345,"Life Scientists",1,0.25
2346,"Medical Laboratory Scientists",1,0.25
2347,"Veterinarians",0,0
2349,"Other Natural and Physical Science Professionals",0,0.25
2411,"Early Childhood (Pre-primary School) Teachers",1,0
2412,"Primary School Teachers",1,1
2413,"Middle School Teachers (Aus) \ Intermediate School Teachers (NZ)",1,1
2414,"Secondary School Teachers",1,1
2415,"Special Education Teachers",1,0
2421,"University Lecturers and Tutors",1,1
2422,"Vocational Education Teachers (Aus) \ Polytechnic Teachers (NZ)",1,1
2491,"Education Advisers and Reviewers",1,1
2492,"Private Tutors and Teachers",1,1
2493,"Teachers of English to Speakers of Other Languages",1,1
2511,"Nutrition Professionals",0,0.75
2512,"Medical Imaging Professionals",0,0
2513,"Occupational and Environmental Health Professionals",0,0
2514,"Optometrists and Orthoptists",0,0
2515,"Pharmacists",0,0
2519,"Other Health Diagnostic and Promotion Professionals",0,0.5
2521,"Chiropractors and Osteopaths",0,0
2522,"Complementary Health Therapists",0,0
2523,"Dental Practitioners",0,0
2524,"Occupational Therapists",0,0.5
2525,"Physiotherapists",0,0.5
2526,"Podiatrists",0,0
2527,"Audiologists and Speech Pathologists \ Therapists",1,0.5
2531,"General  Practitioners and Resident Medical Officers",0,0
2532,"Anaesthetists",0,0
2533,"Specialist Physicians",0,0
2534,"Psychiatrists",1,0
2535,"Surgeons",0,0
2539,"Other Medical Practitioners",0,0
2541,"Midwives",0,0
2542,"Nurse Educators and Researchers",1,1
2543,"Nurse Managers",1,0.25
2544,"Registered Nurses",0,0
2611,"ICT Business and Systems Analysts",1,1
2612,"Multimedia Specialists and Web Developers",1,1
2613,"Software and Applications Programmers",1,1
2621,"Database and Systems Administrators, and ICT Security Specialists",1,1
2631,"Computer Network Professionals",1,1
2632,"ICT Support and Test Engineers",1,1
2633,"Telecommunications Engineering Professionals",1,1
2711,"Barristers",1,0.75
2712,"Judicial and Other Legal Professionals",0,0.75
2713,"Solicitors",1,0.75
2721,"Counsellors",1,1
2722,"Ministers of Religion",1,0.5
2723,"Psychologists",1,1
2724,"Social Professionals",1,1
2725,"Social Workers",0,0.5
2726,"Welfare, Recreation and Community Arts Workers",0,0.5
3111,"Agricultural Technicians",0,0.5
3112,"Medical Technicians",0,0
3113,"Primary Products Inspectors",0,0
3114,"Science Technicians",0,0
3121,"Architectural, Building and Surveying Technicians",0,0
3122,"Civil Engineering Draftspersons and Technicians",1,1
3123,"Electrical Engineering Draftspersons and Technicians",0,1
3124,"Electronic Engineering Draftspersons and Technicians",0,1
3125,"Mechanical Engineering Draftspersons and Technicians",1,1
3126,"Safety Inspectors",0,0
3129,"Other Building and Engineering Technicians",0,0.25
3131,"ICT Support Technicians",1,1
3132,"Telecommunications Technical Specialists",1,1
3211,"Automotive Electricians",0,0
3212,"Motor Mechanics",0,0
3221,"Metal Casting, Forging and Finishing Trades Workers",0,0
3222,"Sheetmetal Trades Workers",0,0
3223,"Structural Steel and Welding Trades Workers",0,0
3231,"Aircraft Maintenance Engineers",0,0
3232,"Metal Fitters and Machinists",0,0
3233,"Precision Metal Trades Workers",0,0
3234,"Toolmakers and Engineering Patternmakers",0,0
3241,"Panelbeaters",0,0
3242,"Vehicle Body Builders and Trimmers",0,0
3243,"Vehicle Painters",0,0
3311,"Bricklayers and Stonemasons",0,0
3312,"Carpenters and Joiners",0,0
3321,"Floor Finishers",0,0
3322,"Painting Trades Workers",0,0
3331,"Glaziers",0,0
3332,"Plasterers",0,0
3333,"Roof Tilers",0,0
3334,"Wall and Floor Tilers",0,0
3341,"Plumbers",0,0
3411,"Electricians",0,0
3421,"Airconditioning and Refrigeration Mechanics",0,0
3422,"Electrical Distribution Trades Workers",0,0
3423,"Electronics Trades Workers",0,0
3424,"Telecommunications Trades Workers",0,0
3511,"Bakers and Pastrycooks",0,0
3512,"Butchers and Smallgoods Makers",0,0
3513,"Chefs",0,0
3514,"Cooks",0,0
3611,"Animal Attendants and Trainers",0,0
3612,"Shearers",0,0
3613,"Veterinary Nurses",0,0
3621,"Florists",1,1
3622,"Gardeners",0,0
3623,"Greenkeepers",0,0
3624,"Nurserypersons",0,0
3911,"Hairdressers",0,0
3921,"Print Finishers and Screen Printers",0,0
3922,"Graphic Pre-press Trades Workers",1,0
3923,"Printers",0,0
3931,"Canvas and Leather Goods Makers",0,0
3932,"Clothing Trades Workers",0,0
3933,"Upholsterers",0,0
3941,"Cabinetmakers",0,0
3942,"Wood Machinists and Other Wood Trades Workers",0,0
3991,"Boat Builders and Shipwrights",1,0.5
3992,"Chemical, Gas, Petroleum and Power Generation Plant Operators",0,0
3993,"Gallery, Library and Museum Technicians",1,0
3994,"Jewellers",0,0
3995,"Performing Arts Technicians",1,0.25
3996,"Signwriters",0,0
3999,"Other Miscellaneous Technicians and Trades Workers",0,0
4111,"Ambulance Officers and Paramedics",0,0
4112,"Dental Hygienists, Technicians and Therapists",0,0
4113,"Diversional Therapists",0,0.5
4114,"Enrolled and Mothercraft Nurses",0,0
4115,"Indigenous Health Workers",0,0.5
4116,"Massage Therapists",0,0
4117,"Welfare Support Workers",0,0.5
4211,"Child Carers",1,0
4221,"Education Aides",1,1
4231,"Aged and Disabled Carers",0,0
4232,"Dental Assistants",0,0
4233,"Nursing Support and Personal Care Workers",0,0
4234,"Special Care Workers",0,0.5
4311,"Bar Attendants and Baristas",0,0
4312,"Cafe Workers",0,0
4313,"Gaming Workers",1,0
4314,"Hotel Service Managers",0,0
4315,"Waiters",0,0
4319,"Other Hospitality Workers",0,0
4411,"Defence Force Members - Other Ranks",0,0
4412,"Fire and Emergency Workers",0,0
4413,"Police",0,0
4421,"Prison Officers",0,0
4422,"Security Officers and Guards",0,0
4511,"Beauty Therapists",0,0
4512,"Driving Instructors",1,1
4513,"Funeral Workers",0,0
4514,"Gallery, Museum and Tour Guides",0,0
4515,"Personal Care Consultants",0,0
4516,"Tourism and Travel Advisers",0,1
4517,"Travel Attendants",0,0
4518,"Other Personal Service Workers",1,0
4521,"Fitness Instructors",0,0
4522,"Outdoor Adventure Guides",0,0
4523,"Sports Coaches, Instructors and Officials",1,0
4524,"Sportspersons",1,0
5111,"Contract, Program and Project Administrators",1,1
5121,"Office Managers",1,0
5122,"Practice Managers",1,0.25
5211,"Personal Assistants",1,0.75
5212,"Secretaries",1,0.75
5311,"General Clerks",1,0.5
5321,"Keyboard Operators",1,1
5411,"Call or Contact Centre Workers",1,1
5412,"Information Officers",0,0.25
5421,"Receptionists",0,0.25
5511,"Accounting Clerks",1,0.75
5512,"Bookkeepers",1,0.75
5513,"Payroll Clerks",1,0.5
5521,"Bank Workers",0,0
5522,"Credit and Loans Officers (Aus) \ Finance Clerks (NZ)",0,1
5523,"Insurance, Money Market and Statistical Clerks",1,1
5611,"Betting Clerks",0,0
5612,"Couriers and Postal Deliverers",1,0
5613,"Filing and Registry Clerks",1,0.75
5614,"Mail Sorters",0,0
5615,"Survey Interviewers",1,0.75
5616,"Switchboard Operators",1,1
5619,"Other Clerical and Office Support Workers",1,0.5
5911,"Purchasing and Supply Logistics Clerks",1,0.5
5912,"Transport and Despatch Clerks",0,0
5991,"Conveyancers and Legal Executives",1,1
5992,"Court and Legal Clerks",1,0.25
5993,"Debt Collectors",1,0.5
5994,"Human Resource Clerks",1,1
5995,"Inspectors and Regulatory Officers",0,0.25
5996,"Insurance Investigators, Loss Adjusters and Risk Surveyors",1,0.5
5997,"Library Assistants",0,0
5999,"Other Miscellaneous Clerical and Administrative Workers",1,0.5
6111,"Auctioneers, and Stock and Station Agents",1,1
6112,"Insurance Agents",1,0.75
6113,"Sales Representatives",1,0.75
6121,"Real Estate Sales Agents",1,0.75
6211,"Sales Assistants (General)",0,0
6212,"ICT Sales Assistants",1,0.75
6213,"Motor Vehicle and Vehicle Parts Salespersons",0,0
6214,"Pharmacy Sales Assistants",0,0
6215,"Retail Supervisors",0,0
6216,"Service Station Attendants",0,0
6217,"Street Vendors and Related Salespersons",0,0.5
6219,"Other Sales Assistants and Salespersons",0,0
6311,"Checkout Operators and Office Cashiers",0,0
6391,"Models and Sales Demonstrators",0,0
6392,"Retail and Wool Buyers",1,1
6393,"Telemarketers",1,1
6394,"Ticket Salespersons",0,1
6395,"Visual Merchandisers",0,1
6399,"Other Sales Support Workers",0,0
7111,"Clay, Concrete, Glass and Stone Processing Machine Operators",0,0
7112,"Industrial Spraypainters",0,0
7113,"Paper and Wood Processing Machine Operators",0,0
7114,"Photographic Developers and Printers",0,0
7115,"Plastics and Rubber Production Machine Operators",0,0
7116,"Sewing Machinists",0,0
7117,"Textile and Footwear Production Machine Operators",0,0
7119,"Other Machine Operators",0,0
7121,"Crane, Hoist and Lift Operators",0,0
7122,"Drillers, Miners and Shot Firers",0,0
7123,"Engineering Production Workers",0,0
7129,"Other Stationary Plant Operators",0,0
7211,"Agricultural, Forestry and Horticultural Plant Operators",0,0
7212,"Earthmoving Plant Operators",0,0
7213,"Forklift Drivers",0,0
7219,"Other Mobile Plant Operators",0,0
7311,"Automobile Drivers",0,0
7312,"Bus and Coach Drivers",0,0
7313,"Train and Tram Drivers",0,0
7321,"Delivery Drivers",0,0
7331,"Truck Drivers",0,0
7411,"Storepersons",0,0
8111,"Car Detailers",0,0
8112,"Commercial Cleaners",0,0
8113,"Domestic Cleaners",0,0
8114,"Housekeepers",0,0
8115,"Laundry Workers",0,0
8116,"Other Cleaners",0,0
8211,"Building and Plumbing Labourers",0,0
8212,"Concreters",0,0
8213,"Fencers",0,0
8214,"Insulation and Home Improvement Installers",0,0
8215,"Paving and Surfacing Labourers",0,0
8216,"Railway Track Workers",0,0
8217,"Structural Steel Construction Workers",0,0
8219,"Other Construction and Mining Labourers",0,0
8311,"Food and Drink Factory Workers",0,0
8312,"Meat Boners and Slicers, and Slaughterers",0,0
8313,"Meat, Poultry and Seafood Process Workers",0,0
8321,"Packers",0,0
8322,"Product Assemblers",0,0
8391,"Metal Engineering Process Workers",0,0
8392,"Plastics and Rubber Factory Workers",0,0
8393,"Product Quality Controllers",0,0
8394,"Timber and Wood Process Workers",0,0
8399,"Other Factory Process Workers",0,0
8411,"Aquaculture Workers",0,0
8412,"Crop Farm Workers",0,0
8413,"Forestry and Logging Workers",0,0
8414,"Garden and Nursery Labourers",0,0
8415,"Livestock Farm Workers",0,0
8416,"Mixed Crop and Livestock Farm Workers",0,0
8419,"Other Farm, Forestry and Garden Workers",0,0
8511,"Fast Food Cooks",0,0
8512,"Food Trades Assistants",0,0
8513,"Kitchenhands",0,0
8911,"Freight and Furniture Handlers",0,0
8912,"Shelf Fillers",0,0
8991,"Caretakers",0,0
8992,"Deck and Fishing Hands",0,0
8993,"Handypersons",0,0
8994,"Motor Vehicle Parts and Accessories Fitters",0,0
8995,"Printing Assistants and Table Workers",0,0
8996,"Recycling and Rubbish Collectors",0,0
8997,"Vending Machine Attendants",1,0
8999,"Other Miscellaneous Labourers",0,0
